Dates,DoW,Subject,Board,Trials,TrialsLeft,TrialsRight,Hits,HitsLeft,HitsRight,HitsRep,HitsAlt,Errors,ErrorsLeft,ErrorsRight,Performance,PerformanceLeft,PerformanceRight,Responses,ResponsesLeft,ResponsesRight,Repetitions,Alternations,Accuracy,AccuracyLeft,AccuracyRight,AccuracyRep,AccuracyAlt,Misses,MissesLeft,MissesRight,MissRate,MissRateLeft,MissRateRight,Rewards,RewardsLeft,RewardsRight,Water,WaterLeft,WaterRight,Stage,SoundsMismatch,NoSound,MessageCount
2022-02-21,0,327,['Bpod7'],447,224,223,363,189,174,214,142,71,30,41,0.8120805369127517,0.84375,0.7802690582959642,434,219,215,227,206,0.836405529953917,0.863013698630137,0.8093023255813954,0.9427312775330396,0.6893203883495146,13,5,8,0.029082774049217,0.022321428571428572,0.03587443946188341,363,189,174,907.5,472.5,435.0,4,0,0,0
2022-02-22,1,327,['Bpod7'],387,180,207,318,143,175,157,157,57,30,27,0.8217054263565892,0.7944444444444444,0.8454106280193237,375,173,202,184,191,0.848,0.8265895953757225,0.8663366336633663,0.8532608695652174,0.8219895287958116,12,7,5,0.031007751937984496,0.03888888888888889,0.024154589371980676,318,143,175,795.0,357.5,437.5,4,0,0,0
2022-02-23,2,327,['Bpod7'],427,212,215,371,175,196,197,171,47,33,14,0.8688524590163934,0.8254716981132075,0.9116279069767442,418,208,210,214,204,0.8875598086124402,0.8413461538461539,0.9333333333333333,0.9205607476635514,0.8382352941176471,9,4,5,0.02107728337236534,0.018867924528301886,0.023255813953488372,371,175,196,927.5,437.5,490.0,4,0,0,0
2022-02-24,3,327,['Bpod7'],424,214,210,382,184,198,198,181,31,27,4,0.9009433962264151,0.8598130841121495,0.9428571428571428,413,211,202,207,206,0.9249394673123487,0.8720379146919431,0.9801980198019802,0.9565217391304348,0.8786407766990292,11,3,8,0.025943396226415096,0.014018691588785047,0.0380952380952381,382,184,198,955.0,460.0,495.0,4,0,0,0
2022-02-25,4,327,['Bpod7'],520,257,263,355,220,135,182,136,97,16,81,0.6826923076923077,0.8560311284046692,0.5133079847908745,452,236,216,219,230,0.7853982300884956,0.9322033898305084,0.625,0.8310502283105022,0.591304347826087,68,21,47,0.13076923076923078,0.08171206225680934,0.17870722433460076,355,220,135,887.5,550.0,337.5,4,0,0,0
2022-02-28,0,327,['Bpod7'],448,224,224,353,164,189,183,158,73,58,15,0.7879464285714286,0.7321428571428571,0.84375,426,222,204,212,213,0.8286384976525821,0.7387387387387387,0.9264705882352942,0.8632075471698113,0.7417840375586855,22,2,20,0.049107142857142856,0.008928571428571428,0.08928571428571429,353,164,189,882.5,410.0,472.5,4,1,0,0
2022-03-01,1,327,['Bpod7'],387,198,189,339,181,158,172,163,37,10,27,0.875968992248062,0.9141414141414141,0.8359788359788359,376,191,185,183,192,0.901595744680851,0.9476439790575916,0.8540540540540541,0.9398907103825137,0.8489583333333334,11,7,4,0.028423772609819122,0.03535353535353535,0.021164021164021163,339,181,158,847.5,452.5,395.0,4,0,0,0
2022-03-02,2,327,['Bpod7'],405,196,209,342,172,170,157,174,43,17,26,0.8444444444444444,0.8775510204081632,0.8133971291866029,385,189,196,172,213,0.8883116883116883,0.91005291005291,0.8673469387755102,0.9127906976744186,0.8169014084507042,20,7,13,0.04938271604938271,0.03571428571428571,0.06220095693779904,342,172,170,855.0,430.0,425.0,4,0,0,0
2022-03-03,3,327,['Bpod7'],376,187,189,319,164,155,145,160,35,15,20,0.848404255319149,0.8770053475935828,0.8201058201058201,354,179,175,168,186,0.9011299435028248,0.9162011173184358,0.8857142857142857,0.8630952380952381,0.8602150537634409,22,8,14,0.05851063829787234,0.0427807486631016,0.07407407407407407,319,164,155,797.5,410.0,387.5,4,0,0,0
2022-03-04,4,327,['Bpod7'],209,87,122,98,47,51,63,31,35,8,27,0.4688995215311005,0.5402298850574713,0.4180327868852459,133,55,78,68,65,0.7368421052631579,0.8545454545454545,0.6538461538461539,0.9264705882352942,0.47692307692307695,76,32,44,0.36363636363636365,0.367816091954023,0.36065573770491804,98,47,51,245.0,117.5,127.5,4,0,0,0
2022-03-07,0,327,['Bpod7'],541,270,271,469,239,230,266,200,63,28,35,0.866913123844732,0.8851851851851852,0.8487084870848709,532,267,265,288,244,0.881578947368421,0.8951310861423221,0.8679245283018868,0.9236111111111112,0.819672131147541,9,3,6,0.0166358595194085,0.011111111111111112,0.02214022140221402,469,239,230,1172.5,597.5,575.0,4,0,0,0
2022-03-08,1,327,['Bpod7'],281,138,143,245,107,138,127,117,36,31,5,0.8718861209964412,0.7753623188405797,0.965034965034965,281,138,143,142,138,0.8718861209964412,0.7753623188405797,0.965034965034965,0.8943661971830986,0.8478260869565217,0,0,0,0.0,0.0,0.0,245,107,138,612.5,267.5,345.0,4,0,0,0
2022-03-09,2,327,['Bpod7'],504,256,248,450,220,230,221,228,44,30,14,0.8928571428571429,0.859375,0.9274193548387096,494,250,244,236,258,0.9109311740890689,0.88,0.9426229508196722,0.9364406779661016,0.8837209302325582,10,6,4,0.01984126984126984,0.0234375,0.016129032258064516,450,220,230,1125.0,550.0,575.0,4,0,0,0
2022-03-10,3,327,['Bpod7'],580,268,312,492,216,276,246,242,76,45,31,0.8482758620689655,0.8059701492537313,0.8846153846153846,568,261,307,267,300,0.8661971830985915,0.8275862068965517,0.8990228013029316,0.9213483146067416,0.8066666666666666,12,7,5,0.020689655172413793,0.026119402985074626,0.016025641025641024,492,216,276,1230.0,540.0,690.0,4,0,0,0
2022-03-11,4,327,['Bpod7'],255,125,130,204,95,109,117,87,42,27,15,0.8,0.76,0.8384615384615385,246,122,124,128,118,0.8292682926829268,0.7786885245901639,0.8790322580645161,0.9140625,0.7372881355932204,9,3,6,0.03529411764705882,0.024,0.046153846153846156,204,95,109,510.0,237.5,272.5,4,0,0,0
2022-03-15,1,327,['Bpod7'],225,108,117,171,78,93,82,88,31,20,11,0.76,0.7222222222222222,0.7948717948717948,202,98,104,90,112,0.8465346534653465,0.7959183673469388,0.8942307692307693,0.9111111111111111,0.7857142857142857,23,10,13,0.10222222222222223,0.09259259259259259,0.1111111111111111,171,78,93,427.5,195.0,232.5,4,0,0,0
2022-03-16,2,327,['Bpod7'],350,187,163,304,153,151,158,143,34,29,5,0.8685714285714285,0.8181818181818182,0.9263803680981595,338,182,156,167,171,0.8994082840236687,0.8406593406593407,0.967948717948718,0.9461077844311377,0.8362573099415205,12,5,7,0.03428571428571429,0.026737967914438502,0.04294478527607362,304,153,151,760.0,382.5,377.5,4,0,0,0
2022-03-17,3,327,['Bpod7'],373,176,197,319,132,187,178,137,45,38,7,0.8552278820375335,0.75,0.949238578680203,364,170,194,193,171,0.8763736263736264,0.7764705882352941,0.9639175257731959,0.9222797927461139,0.8011695906432749,9,6,3,0.024128686327077747,0.03409090909090909,0.015228426395939087,319,132,187,797.5,330.0,467.5,4,0,0,0
2022-03-18,4,327,['Bpod7'],453,210,243,397,160,237,206,185,45,41,4,0.8763796909492274,0.7619047619047619,0.9753086419753086,442,201,241,213,229,0.8981900452488688,0.7960199004975125,0.983402489626556,0.9671361502347418,0.8078602620087336,11,9,2,0.024282560706401765,0.04285714285714286,0.00823045267489712,397,160,237,992.5,400.0,592.5,4,0,0,0
2022-03-21,0,327,['Bpod7'],324,152,172,270,106,164,140,129,45,41,4,0.8333333333333334,0.6973684210526315,0.9534883720930233,315,147,168,152,163,0.8571428571428571,0.7210884353741497,0.9761904761904762,0.9210526315789473,0.7914110429447853,9,5,4,0.027777777777777776,0.03289473684210526,0.023255813953488372,270,106,164,675.0,265.0,410.0,4,0,0,0
2022-03-22,1,327,['Bpod7'],323,152,171,229,78,151,126,98,62,57,5,0.7089783281733746,0.5131578947368421,0.8830409356725146,291,135,156,139,152,0.7869415807560137,0.5777777777777777,0.967948717948718,0.9064748201438849,0.6447368421052632,32,17,15,0.09907120743034056,0.1118421052631579,0.08771929824561403,229,78,151,572.5,195.0,377.5,4,0,0,0
2022-03-23,2,327,['Bpod7'],410,191,219,327,116,211,199,121,74,70,4,0.7975609756097561,0.6073298429319371,0.9634703196347032,401,186,215,213,188,0.8154613466334164,0.6236559139784946,0.9813953488372092,0.9342723004694836,0.6436170212765957,9,5,4,0.02195121951219512,0.02617801047120419,0.0182648401826484,327,116,211,817.5,290.0,527.5,4,0,0,0
