choices,rts,winners
0.0,0.373,0
0.0,0.453,0
0.0,0.302,0
1.0,1.104,1
1.0,0.6829999999999999,1
1.0,0.826,1
1.0,0.6609999999999999,1
-1.0,0.761,1
0.0,0.253,0
1.0,0.991,1
0.0,0.291,0
0.0,0.45,0
1.0,0.775,1
0.0,0.42300000000000004,0
0.0,0.372,0
1.0,1.094,1
1.0,0.639,1
-1.0,0.699,0
0.0,0.461,0
1.0,0.6699999999999999,1
0.0,0.503,0
1.0,0.9359999999999999,0
1.0,0.783,1
0.0,0.517,0
1.0,1.0290000000000001,1
1.0,0.572,0
0.0,0.385,0
0.0,0.325,0
1.0,0.813,0
1.0,0.6,0
0.0,0.394,0
1.0,0.6669999999999999,1
1.0,1.0130000000000001,1
1.0,0.6819999999999999,1
-1.0,1.094,1
0.0,0.47600000000000003,0
1.0,0.775,1
1.0,0.896,0
1.0,1.5610000000000002,1
0.0,0.42700000000000005,0
0.0,0.47000000000000003,0
1.0,0.533,0
1.0,0.776,0
-1.0,1.047,1
0.0,0.48100000000000004,0
1.0,0.601,0
1.0,0.526,0
-1.0,0.6779999999999999,0
0.0,0.309,0
1.0,0.8069999999999999,1
1.0,0.7959999999999999,1
0.0,0.299,0
1.0,0.884,1
1.0,0.717,1
1.0,1.08,0
0.0,0.21500000000000002,0
1.0,0.6859999999999999,0
1.0,1.221,1
1.0,0.647,1
-1.0,0.692,1
1.0,0.53,0
1.0,0.63,0
1.0,0.819,0
-1.0,0.654,1
-1.0,0.846,0
0.0,0.21400000000000002,0
1.0,0.895,1
-1.0,0.538,0
0.0,0.28200000000000003,0
1.0,0.6739999999999999,1
1.0,0.696,1
-1.0,0.734,0
1.0,0.575,0
-1.0,0.8099999999999999,1
1.0,0.702,0
1.0,0.5599999999999999,0
-1.0,0.655,0
0.0,0.264,0
0.0,0.48100000000000004,0
1.0,0.72,1
0.0,0.266,0
-1.0,0.71,0
1.0,0.633,1
